epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,34.6856,0.34159,0.71008,0.82934,0.98888,1,0.995,0.85757,0.64958,0.4685,0.87403,0.000218,0.000218,0.000218
92,35.0595,0.33192,0.75824,0.76135,0.98878,1,0.995,0.86174,0.65354,0.4731,0.8739,0.0001982,0.0001982,0.0001982
93,35.4197,0.35329,0.69104,0.75299,0.98878,1,0.995,0.86174,0.65354,0.4731,0.8739,0.0001784,0.0001784,0.0001784
94,35.7857,0.36621,0.75412,0.84156,0.98844,1,0.995,0.86174,0.64693,0.49162,0.87944,0.0001586,0.0001586,0.0001586
95,36.1569,0.284,0.72241,0.79993,0.98823,1,0.995,0.86174,0.62432,0.50529,0.87991,0.0001388,0.0001388,0.0001388
96,36.5253,0.32783,0.7502,0.80366,0.98801,1,0.995,0.86174,0.6237,0.50765,0.88274,0.000119,0.000119,0.000119
97,36.883,0.30284,0.73362,0.79645,0.98801,1,0.995,0.86174,0.6237,0.50765,0.88274,9.92e-05,9.92e-05,9.92e-05
98,37.2502,0.25602,0.686,0.73649,0.98801,1,0.995,0.86174,0.6181,0.50498,0.88167,7.94e-05,7.94e-05,7.94e-05
99,37.6253,0.30846,0.66726,0.80241,0.98802,1,0.995,0.86174,0.60374,0.51439,0.8811,5.96e-05,5.96e-05,5.96e-05
100,38.0038,0.26277,0.67335,0.81653,0.98837,1,0.995,0.86174,0.6042,0.51002,0.88019,3.98e-05,3.98e-05,3.98e-05
